Wahlkreis-Nr.;Bevölkerung am 31.12.2015 - Deutsche (in 1000);Alter von ... bis ... Jahren am 31.12.2015 - unter 18 (%);Bev;Wber
1;266,7;16,5;266700;222695
2;219,7;16,1;219700;184328
3;209,8;16,7;209800;174763
4;239,4;17,3;239400;197984
5;242,9;14,6;242900;207437
6;206,8;16,4;206800;172885
7;281,5;16,8;281500;234208
8;294,9;17,1;294900;244472
9;209,9;15;209900;178415
10;290,6;16,8;290600;241779
11;216,5;15,4;216500;183159
12;254,6;15,7;254600;214628
13;241,3;14,7;241300;205829
14;261,2;14,3;261200;223848
15;282,3;14,1;282300;242496
16;264;14,4;264000;225984
17;249,6;14,8;249600;212659
18;278,4;16,2;278400;233299
19;222,8;16,2;222800;186706
20;223,2;16,2;223200;187042
21;252,9;16,2;252900;211930
22;277,2;16,2;277200;232294
23;270,6;16,2;270600;226763
24;227,3;17;227300;188659
25;285,8;18,2;285800;233784
26;220,4;15,6;220400;186018
27;266,8;16,4;266800;223045
28;270,4;16,9;270400;224702
29;222,5;16,6;222500;185565
30;234,4;17,5;234400;193380
31;278,9;18,4;278900;227582
32;275,1;20,4;275100;218980
33;229,3;16,7;229300;191007
34;233,7;17,2;233700;193504
35;199,6;17,3;199600;165069
36;232,3;17,2;232300;192344
37;216,5;17;216500;179695
38;241,8;18,7;241800;196583
39;232,4;15,7;232400;195913
40;230,3;16,2;230300;192991
41;217;15,3;217000;183799
42;230,9;15,3;230900;195572
43;276,1;17,2;276100;228611
44;255,3;16,6;255300;212920
45;263,7;17,8;263700;216761
46;220,2;15,3;220200;186509
47;283,5;16,9;283500;235589
48;258,1;15,8;258100;217320
49;243,9;16;243900;204876
50;227;14,3;227000;194539
51;218,9;15,7;218900;184533
52;238,2;14,4;238200;203899
53;264,2;15,3;264200;223777
54;302,9;15,5;302900;255951
55;266,5;16,1;266500;223594
56;203,8;13,9;203800;175472
57;212,8;14,4;212800;182157
58;287,1;16,8;287100;238867
59;262,1;15,3;262100;221999
60;213,2;13,9;213200;183565
61;294,1;17,5;294100;242633
62;290,2;15,2;290200;246090
63;226,1;14,6;226100;193089
64;209,1;13,4;209100;181081
65;196,8;13,3;196800;170626
66;194,6;14,9;194600;165605
67;257,6;14,7;257600;219733
68;248,5;13,9;248500;213959
69;276,2;13,9;276200;237808
70;204,4;13;204400;177828
71;260,7;13,4;260700;225766
72;253,3;14,7;253300;216065
73;222,7;13,6;222700;192413
74;239,7;13,5;239700;207341
75;250;15,8;250000;210500
76;283;15,8;283000;238286
77;216,7;15,8;216700;182461
78;222,2;15,8;222200;187092
79;258,7;15,8;258700;217825
80;227,2;15,8;227200;191302
81;279,2;15,8;279200;235086
82;246,2;15,8;246200;207300
83;273,3;15,8;273300;230119
84;237,1;15,8;237100;199638
85;239,4;15,8;239400;201575
86;241,4;15,8;241400;203259
87;207,3;13,9;207300;178485
88;274,4;17;274400;227752
89;225,4;17;225400;187082
90;237,4;16,7;237400;197754
91;297,2;17,2;297200;246082
92;293,4;16,9;293400;243815
93;228,8;15,9;228800;192421
94;275,1;15,9;275100;231359
95;245,3;15,9;245300;206297
96;272,2;17,3;272200;225109
97;282,4;17,9;282400;231850
98;258;17,6;258000;212592
99;249,6;17,6;249600;205670
100;258,4;16,9;258400;214730
101;257,2;16,4;257200;215019
102;252,8;16,5;252800;211088
103;266,1;16,6;266100;221927
104;239,4;16,3;239400;200378
105;190,8;16,4;190800;159509
106;263;15,6;263000;221972
107;234,6;15,6;234600;198002
108;257,7;17,5;257700;212603
109;225,9;16,2;225900;189304
110;239,9;16,4;239900;200556
111;271,5;16,3;271500;227246
112;269,1;16,9;269100;223622
